Id,Abr,Site,Country/Region,Province/State,Latitude,Longitude,Confirmed,Deaths,Recovered
1,,Jwaneng,Botswana,Southern Region,-24.600417,24.730277,,,
2,EMC,Encuentro,Chile,Antofagasta,-23.5910837,-70.3944673,,,
3,GBU,Gunung Bara Utama,Indonesia,East Kalimantan,-0.3120394,115.6818034,,,
4,MLK,Melak,Indonesia,East Kalimantan,-0.2352434,115.8157241,,,
5,SGT,Sangatta,Indonesia,East Kalimantan,0.5769782,117.4366745,,,
6,MSJ,Mahakam Sumber Jaya,Indonesia,East Kalimantan,-0.5476783,117.0530148,,,
7,,Satui,Indonesia,South Kalimantan,,,,,
8,SNK,Senakin,Indonesia,South Kalimantan,,,,,
9,WHN,Wahana,Indonesia,South Kalimantan,,,,,
10,,Oyu Tolgoi ,Mongolia,South Gobi Desert,,,,,
11,,Ukhaa Khudag,Mongolia,South Gobi Desert,,,,,
12,MAC,Mt Arthur,Australia,New South Wales,,,,,
13,MPO,Mt Pleasant,Australia,New South Wales,,,,,
14,MTO,Mt Owen,Australia,New South Wales,,,,,
15,,Wambo,Australia,New South Wales,,,,,
16,CVR,Caval Ridge,Australia,Queensland,,,,,
17,CNM,Curragh North,Australia,Queensland,,,,,
18,DAW,Dawson South,Australia,Queensland,,,,,
19,JEL,Jellinbah,Australia,Queensland,,,,,
20,VER,Lake Vermont,Australia,Queensland,,,,,
21,PDM,Peak Downs,Australia,Queensland,,,,,
22,SON,QCoal Northern Hub,Australia,Queensland,,,,,
23,,Prominent Hill,Australia,South Australia,,,,,
24,,Yallourne Mine Alliance,Australia,Victoria,,,,,
25,,Leinster,Australia,Western Australia,,,,,
26,RRW,Rocky's Reward,Australia,Western Australia,,,,,
